Column,Class,Order,Family,SubFamily,Morfospecies,uniqueID,Abundance,ID_by,Notes
p11,Insecta,Hemiptera,Ceratocombidae,,Ceratocombus vagans,,1,P,
p11,Collembola,Entomobryomorha,Entomobryoidae,,OnychiuridaeSp1,,1,P,
p11,Arachnida,Acari,,,MediumBrown,,52,P,
p11,Arachnida,Acari,Euzetidae,,MediumBlackshiny,,2,P,
p11,Arachnida,Acari,,,MediumBrownTriangular,,1,P,"Seem like adult/male/female of Medium brown. Bottom part is very similar, however the difference relies in the triangular shape of the body and the presence of two spines in the back for the Medium Black Triangular"
p11,Arachnida,Acari,,,SmallYellowShiny,,2,P,
p11,Arachnida,Acari,,,SmallRollingBeige,,2,P,
p11,Arachnida,Acari,,,MediumYellow,,3,P,
p10,Arachnida,Araneae,Theridiidae,,TheridiidaeSp1,,1,G,
p10,Arachnida,Araneae,Linyphiidae,,LinyphiidaeSp1,,3,G,1 adult 2 juveniles
p10,Insecta,Coleoptera,Staphylinidae,,AthetaSp1,,2,G,Atheta anexa?
p10,Arachnida,Acari,,,MediumBrown,,3,G,
p10,Arachnida,Acari,,,SmallRollingBeige,,2,G,
p2,Arachnida,Acari,,,MediumBrown,,5,P,
p2,Arachnida,Acari,,,SmallYellowShiny,,3,P,
p2,Arachnida,Acari,,,MediumYellow,,2,P,
p2,Arachnida,Acari,,,SmallRollingBeige,,2,P,
p2,Arachnida,Araneae,Linyphiidae,,LinyphiidaeSp1,,1,P,
p5,Arachnida,Acari,,,MediumBrown,,7,G,
p5,Arachnida,Acari,,,SmallYellowShiny,,3,G,
p5,Insecta,Coleoptera,Staphylinidae,,AthetaSp1,,1,G,
p5,Insecta,Coleoptera,Cryptophagidae,,AtomariaSp1,,1,G,
p5,Arachnida,Acari,,,SmallRollingBeige,,3,G,
p5,Collembola,Entomobryomorha,Onychiuridae,,OnychiuridaeSp1,,1,G,
p2,Collembola,Entomobryomorha,Onychiuridae,,OnychiuridaeSp1,,1,P,
p5,Arachnida,Acari,,,MediumBrownTriangular,,1,G,
p3,Insecta,Coleoptera,Staphylinidae,,AthetaSp1,,1,G,
p3,Diplopoda,,,,DiplopodaSp1,,1,G,
p3,Arachnida,Acari,,,MediumBrown,,18,G,
p3,Arachnida,Acari,,,SmallYellowShiny,,23,G,
p3,Arachnida,Acari,Euzetidae,,MediumBlackshiny,,3,G,
p2,Gastropoda,Panpulmonata,,,flat white,,1,G,
p3,Collembola,Poduromorpha,Neuridae,Neurinae,NeurinaeSp1,,1,G,
p3,Arachnida,Araneae,Linyphiidae,,LinyphiidaeSp1,,1,G,
p3,Insecta,Hymenoptera,,,HymentopteraSp2,,1,G,
p2,Insecta,Coleoptera,Staphylinidae,,ProteinusSp1,,1,P,
p3,Gastropoda,Panpulmonata,,,flat white,,1,G,
p3,Arachnida,Acari,,,SmallRollingBeige,,5,P,
p3,Arachnida,Acari,,,LogLegTriangled,,1,P,
p15,Arachnida,Acari,,,LogLegTriangled,,1,P,
p7,Arachnida,Acari,,,White long Legs,,8,P,
p7,Arachnida,Acari,,,LogLegTriangled,,3,P,
p4,Arachnida,Acari,,,LogLegTriangled,,5,G,
p4,Arachnida,Araneae,Linyphiidae,,LinyphiidaeSp1,,2,G,1 spiderling
p7,Arachnida,Acari,,,SmallRollingBeige,,16,P,
p7,Arachnida,Acari,Euzetidae,,MediumBlackshiny,,5,P,
p4,Arachnida,Acari,,,MediumBrown,,13,G,
p4,Arachnida,Acari,,,SmallYellowShiny,,9,G,
p4,Arachnida,Acari,Euzetidae,,MediumBlackshiny,,1,G,
p7,Insecta,Coleoptera,Cryptophagidae,,AtomariaSp1,,6,G,
p4,Arachnida,Acari,,,MediumBrownTriangular,,3,G,
p7,Arachnida,Acari,,,BrownSpidermite,,1,P,
p7,Insecta,Coleoptera,Cryptophagidae,,AtomariaSp2,,1,P,"Very similar as AtomariaSp1, but bigger and brown. Check"
p4,Nematoda,,,,NematodaSp1,,1,G,
p7,Collembola,Poduromorpha,Neuridae,Neurinae,NeurinaeSp1,,1,P,
p7,Collembola,Entomobryomorha,Entomobryoidae,,CollembolaLW_sp1,,2,P,
p4,Insecta,Coleoptera,Carabidae,Harpalinae,Amara pseudobrunnea,,1,G,Amara hyperboeralis? seed-eating ground beetle in the family Carabidae
p7,Arachnida,Araneae,Linyphiidae,,LinyphiidaeSp1,,8,P,
p4,Arachnida,Acari,,,SmallRollingBeige,,4,G,
p4,Arachnida,Araneae,Theridiidae,,TheridiidaeSp1,,1,G,spiderling
p4,Arachnida,Araneae,Linyphiidae,,LinyphiidaeSp1,,1,G,
p4,Insecta,Coleoptera,Cryptophagidae,,AtomariaSp1,,1,G,
p7,Insecta,Hemiptera,Aphididae,,AphididaeSp1,,1,P,
p7,Insecta,Coleoptera,Carabidae,,Amara pseudobrunnea,,2,P,
p1,Arachnida,Acari,,,LogLegTriangled,,4,G,
p7,Insecta,Coleoptera,Staphylinidae,Omaliinae,Omalium,,1,P,
p1,Arachnida,Acari,,,SmallRollingBeige,,68,G,
p1,Arachnida,Acari,,,MediumBrown,,15,G,
p1,Arachnida,Acari,,,BlackMite,,14,G,
p1,Arachnida,Acari,,,MediumYellow,,6,G,
p1,Insecta,Coleoptera,Cryptophagidae,,AtomariaSp1,,4,G,
p7,Insecta,Hemiptera,Lygaeidae,,Lygaeuskalmii,,1,P,
p1,Diplopoda,,,,DiplopodaSp1,,1,G,
p1,Arachnida,Araneae,Linyphiidae,,LinyphiidaeSp1,,8,G,"1male, 8 spiderlings"
p1,Arachnida,Acari,,,MediumYellow,,12,G,
p1,Insecta,Coleoptera,Staphylinidae,Pselaphinae,PselaphinaeSp1,,2,G,
p1,Collembola,Entomobryomorha,Onychiuridae,,OnychiuridaeSp1,,5,G,
p1,Collembola,Entomobryomorha,Entomobryidae,,EntomobryidaeSp1,,1,G,
p7,Insecta,Coleoptera,Staphylinidae,Pselaphinae,PselaphinaeSp1,,2,P,
p7,Arachnida,Acari,,,MediumBrown,,63,P,
p1,Insecta,Lepidoptera,Geometridae,,GeometridaeSp1,,1,G,Caterpillar
p7,Insecta,Hymenoptera,,,HymentopteraSp2,,6,P,
p7,Arachnida,Acari,,,SmallYellowShiny,,21,P,
p7,Insecta,Hymenoptera,Formicidae,,FormicidaeSp1,,5,G,
p7,Arachnida,Acari,,,MediumYellow,,8,P,
p7,Insecta,Coleoptera,Cryptophagidae,,AtomariaSp1,,2,P,
p7,Insecta,Coleoptera,Staphylinidae,,AthetaSp2,,1,G,
p7,Arachnida,Acari,,,BlackMite,,2,P,
p7,Insecta,Coleoptera,Carabidae,Harpalinae,AmaraSp2,,1,G,
p7,Arachnida,Acari,,,MediumBrownTriangular,,1,P,
p7,Gastropoda,Panpulmonata,,,SlugSp1,,2,G,
p7,Insecta,Diptera,Culicidae,,moskito1,,2,P,
p7,Insecta,Hymenoptera,,,HymentopteraSp3,,3,P,
p7,Insecta,Hymenoptera,,,HymentopteraSp4,,3,P,
p7,Insecta,Diptera,Agromyzidae,,AgromyzidaeSp1,,1,P,
p15,Arachnida,Acari,,,MediumBrown,,6,P,
p15,Collembola,Poduromorpha,Neuridae,Neurinae,NeurinaeSp1,,2,P,
p15,Insecta,Coleoptera,Cryptophagidae,,AtomariaSp1,,1,P,
p12,Arachnida,Acari,,,MediumBrown,,29,G,
p15,Arachnida,Araneae,Linyphiidae,,LinyphiidaeSp1,,7,P,
p15,Arachnida,Acari,,,SmallYellowShiny,,17,P,
