Sample,LitterType,WetWeight,DryWeight
p1,living material,2.6,0.28
p1,needles,44.1,24.41
p1,twigs,7.2,4.56
p1,leaves,19,15.02
p1,moss,18.8,10.7
p10,bark,61.9,23.3
p10,needles,116.9,50.53
p10,leaves,132.2,59.39
p10,twigs,325.1,199.73
p10,fungi,2.4,0.26
p10,lichens,6,3.02
p11,bark,15.9,5.76
p11,moss,88.6,32.69
p11,twigs,55.2,31.11
p11,needles,293.6,168.31
p12,moss,360.6,109.47
p12,fungi,13.1,0.95
p12,living material,2.1,0.17
p12,twigs,23.3,10.4
p12,leaves,3,0.75
p12,needles,239.4,103.33
p13,living material,4.5,1.12
p13,moss,29,11.09
p13,twigs,50.5,31.73
p13,leaves,20.5,7.7
p13,needles,305.4,148.55
p14,needles,261,132.14
p14,bark,64.8,34.04
p14,moss,56.2,24.24
p14,twigs,37.6,25.91
p15,lichens,1.8,0.02
p15,twigs,19.2,9.65
p15,bark,25.1,7.35
p15,moss,61.4,23.83
p15,needles,263.7,147.6
p2,needles,86.1,24.74
p2,fungi,4.6,0.26
p2,moss,38.9,11.46
p2,twigs,19.4,8.29
p2,leaves,2.3,0.37
p2,living material,6.2,1.65
p2,bark,156.1,76.14
p3,needles,32.5,17.85
p3,bark,53.4,34.54
p3,twigs,73,50
p3,moss,16,6.8
p4,twigs,111.4,68.86
p4,bark,3.5,0.59
p4,leaves,46.2,31.62
p4,needles,31.3,22.61
p4,lichens,2.1,0.08
p4,moss,3.4,1.04
p5,leaves,2.5,0.43
p5,needles,47.1,14.11
p5,lichens,2.5,0.59
p5,living material,4,1.04
p5,twigs,26.4,14.41
p5,moss,96.2,36
p6,living material,14.5,4.32
p6,leaves,11.8,4.91
p6,fungi,5.4,1.05
p6,bark,24.8,10.17
p6,needles,172.5,88.03
p6,moss,54.3,19.33
p6,twigs,13,8.21
p7,moss,26.2,10.73
p7,leaves,163.4,89.33
p7,twigs,201.4,102.12
p7,living material,10.9,4.01
p8,leaves,104.6,55.33
p8,twigs,97.5,70.2
p8,bark,16.5,8.72
p8,fungi,31.5,2.06
p8,needles,340.9,200.33
p9,lichens,2.5,0.68
p9,living material,4.3,1.13
p9,twigs,56.2,32.59
p9,moss,120.1,43.72
p9,living material,11.7,3.42
p9,needles,252.5,129.1
p9,leaves,9.2,4.28
